Have you faced any challenges or limitations with URDFs?;If you have earlier created/modified a URDF model, what level of difficulty would you rate the process?;
Incorrect forward kinematics.,Difficulty importing the URDF into simulation tool.,Difficulty creating a URDF file.,Difficulty adding end effector model to robotic arm model.,Could not find a URDF with the specific version of the robot I want to simulate.,Limitation in URDF did not allow creating model of robot with parallel linkages.;Medium;
Incorrect forward kinematics.;Easy;
Difficulty adding end effector model to robotic arm model.,Could not find a URDF with the specific version of the robot I want to simulate.,Other;Medium;
Difficulty adding end effector model to robotic arm model.;Medium;
Difficulty importing the URDF into simulation tool.,Difficulty creating a URDF file.,Could not find a URDF with the specific version of the robot I want to simulate.;Medium;
Limitation in URDF did not allow creating model of robot with parallel linkages.;Medium;
Incorrect forward kinematics.,Difficulty importing the URDF into simulation tool.,Difficulty creating a URDF file.,Difficulty adding end effector model to robotic arm model.,Could not find a URDF with the specific version of the robot I want to simulate.,Limitation in URDF did not allow creating model of robot with parallel linkages.;Difficult;
Difficulty creating a URDF file.;Difficult;
Limitation in URDF did not allow creating model of robot with parallel linkages.;Medium;
;Medium;
Incorrect forward kinematics.,Difficulty importing the URDF into simulation tool.,Difficulty creating a URDF file.,Could not find a URDF with the specific version of the robot I want to simulate.,Limitation in URDF did not allow creating model of robot with parallel linkages.;Difficult;
Incorrect forward kinematics.;Medium;
Incorrect forward kinematics.,Difficulty importing the URDF into simulation tool.,Difficulty adding end effector model to robotic arm model.,Limitation in URDF did not allow creating model of robot with parallel linkages.;Difficult;
Incorrect forward kinematics.,Difficulty importing the URDF into simulation tool.,Difficulty creating a URDF file.;Medium;
Difficulty adding end effector model to robotic arm model.,Limitation in URDF did not allow creating model of robot with parallel linkages.;Easy;
Difficulty importing the URDF into simulation tool.,Difficulty creating a URDF file.,Could not find a URDF with the specific version of the robot I want to simulate.;Difficult;
Limitation in URDF did not allow creating model of robot with parallel linkages.;Medium;
Could not find a URDF with the specific version of the robot I want to simulate.,Limitation in URDF did not allow creating model of robot with parallel linkages.;Medium;
Difficulty importing the URDF into simulation tool.,Difficulty creating a URDF file.,Limitation in URDF did not allow creating model of robot with parallel linkages.;Difficult;
Difficulty creating a URDF file.;Difficult;
Difficulty creating a URDF file.,Could not find a URDF with the specific version of the robot I want to simulate.;Medium;
Difficulty adding end effector model to robotic arm model.,Could not find a URDF with the specific version of the robot I want to simulate.;Medium;
Incorrect forward kinematics.,Difficulty importing the URDF into simulation tool.,Difficulty creating a URDF file.,Limitation in URDF did not allow creating model of robot with parallel linkages.;Medium;
Incorrect forward kinematics.,Limitation in URDF did not allow creating model of robot with parallel linkages.;Medium;
Difficulty adding end effector model to robotic arm model.,Could not find a URDF with the specific version of the robot I want to simulate.;Difficult;
Incorrect forward kinematics.,Difficulty importing the URDF into simulation tool.;Medium;
Difficulty importing the URDF into simulation tool.,Difficulty creating a URDF file.,Could not find a URDF with the specific version of the robot I want to simulate.,Limitation in URDF did not allow creating model of robot with parallel linkages.;Difficult;
Limitation in URDF did not allow creating model of robot with parallel linkages.;Easy;
Incorrect forward kinematics.,Difficulty creating a URDF file.,Difficulty adding end effector model to robotic arm model.;Difficult;
Difficulty importing the URDF into simulation tool.,Difficulty creating a URDF file.;Difficult;
Limitation in URDF did not allow creating model of robot with parallel linkages.;Medium;
Incorrect forward kinematics.,Difficulty importing the URDF into simulation tool.,Difficulty creating a URDF file.;Difficult;
Other;Easy;
Difficulty importing the URDF into simulation tool.,Could not find a URDF with the specific version of the robot I want to simulate.;Medium;
Incorrect forward kinematics.,Difficulty importing the URDF into simulation tool.,Difficulty creating a URDF file.;Difficult;
Difficulty creating a URDF file.;Medium;
;Medium;
Difficulty creating a URDF file.;Difficult;
Difficulty creating a URDF file.;Medium;
Difficulty importing the URDF into simulation tool.;Easy;
Difficulty creating a URDF file.,Limitation in URDF did not allow creating model of robot with parallel linkages.;Difficult;
Incorrect forward kinematics.,Difficulty creating a URDF file.,Could not find a URDF with the specific version of the robot I want to simulate.;Difficult;
Incorrect forward kinematics.,Difficulty importing the URDF into simulation tool.,Difficulty creating a URDF file.,Difficulty adding end effector model to robotic arm model.,Could not find a URDF with the specific version of the robot I want to simulate.,Limitation in URDF did not allow creating model of robot with parallel linkages.;Difficult;
Difficulty importing the URDF into simulation tool.,Difficulty creating a URDF file.,Difficulty adding end effector model to robotic arm model.,Could not find a URDF with the specific version of the robot I want to simulate.,Limitation in URDF did not allow creating model of robot with parallel linkages.;Medium;
Difficulty creating a URDF file.;Difficult;
Difficulty importing the URDF into simulation tool.,Difficulty adding end effector model to robotic arm model.;Difficult;
Incorrect forward kinematics.,Limitation in URDF did not allow creating model of robot with parallel linkages.;Medium;
Difficulty adding end effector model to robotic arm model.,Limitation in URDF did not allow creating model of robot with parallel linkages.;Medium;
Difficulty adding end effector model to robotic arm model.,Limitation in URDF did not allow creating model of robot with parallel linkages.;Medium;
Incorrect forward kinematics.,Difficulty importing the URDF into simulation tool.,Difficulty creating a URDF file.,Difficulty adding end effector model to robotic arm model.,Could not find a URDF with the specific version of the robot I want to simulate.,Limitation in URDF did not allow creating model of robot with parallel linkages.;Medium;
Difficulty importing the URDF into simulation tool.,Difficulty adding end effector model to robotic arm model.,Limitation in URDF did not allow creating model of robot with parallel linkages.;Easy;
Difficulty importing the URDF into simulation tool.,Difficulty creating a URDF file.;Difficult;
Difficulty adding end effector model to robotic arm model.;Medium;
Difficulty importing the URDF into simulation tool.,Difficulty creating a URDF file.,Difficulty adding end effector model to robotic arm model.,Limitation in URDF did not allow creating model of robot with parallel linkages.;Difficult;
Difficulty creating a URDF file.;Medium;
Limitation in URDF did not allow creating model of robot with parallel linkages.;Medium;
Limitation in URDF did not allow creating model of robot with parallel linkages.;Medium;
Difficulty adding end effector model to robotic arm model.;Medium;
Other;Difficult;
Difficulty importing the URDF into simulation tool.,Difficulty adding end effector model to robotic arm model.;Medium;
Could not find a URDF with the specific version of the robot I want to simulate.,Limitation in URDF did not allow creating model of robot with parallel linkages.;Easy;
Difficulty importing the URDF into simulation tool.,Difficulty creating a URDF file.,Could not find a URDF with the specific version of the robot I want to simulate.;Difficult;
Difficulty creating a URDF file.,Could not find a URDF with the specific version of the robot I want to simulate.,Limitation in URDF did not allow creating model of robot with parallel linkages.;Difficult;
Difficulty creating a URDF file.;Difficult;
Incorrect forward kinematics.,Could not find a URDF with the specific version of the robot I want to simulate.;Medium;
Difficulty creating a URDF file.,Other;Medium;
Incorrect forward kinematics.,Difficulty adding end effector model to robotic arm model.,Could not find a URDF with the specific version of the robot I want to simulate.;Medium;
Incorrect forward kinematics.,Difficulty adding end effector model to robotic arm model.,Could not find a URDF with the specific version of the robot I want to simulate.;Medium;
Incorrect forward kinematics.,Could not find a URDF with the specific version of the robot I want to simulate.;Medium;
Could not find a URDF with the specific version of the robot I want to simulate.,Limitation in URDF did not allow creating model of robot with parallel linkages.;Medium;
Incorrect forward kinematics.,Could not find a URDF with the specific version of the robot I want to simulate.;Medium;
Difficulty adding end effector model to robotic arm model.;Medium;
Difficulty importing the URDF into simulation tool.,Limitation in URDF did not allow creating model of robot with parallel linkages.;Difficult;
Difficulty importing the URDF into simulation tool.,Difficulty creating a URDF file.;Medium;
Difficulty creating a URDF file.;Medium;
Incorrect forward kinematics.,Difficulty importing the URDF into simulation tool.,Difficulty creating a URDF file.,Difficulty adding end effector model to robotic arm model.,Could not find a URDF with the specific version of the robot I want to simulate.,Limitation in URDF did not allow creating model of robot with parallel linkages.;Difficult;
;Medium;
;Medium;
Difficulty importing the URDF into simulation tool.,Could not find a URDF with the specific version of the robot I want to simulate.,Limitation in URDF did not allow creating model of robot with parallel linkages.;Difficult;
Difficulty creating a URDF file.,Other;Difficult;
Limitation in URDF did not allow creating model of robot with parallel linkages.;Easy;
Incorrect forward kinematics.,Difficulty creating a URDF file.,Difficulty adding end effector model to robotic arm model.,Could not find a URDF with the specific version of the robot I want to simulate.;Medium;
Difficulty importing the URDF into simulation tool.,Could not find a URDF with the specific version of the robot I want to simulate.;Difficult;
Difficulty importing the URDF into simulation tool.,Other;Medium;
Limitation in URDF did not allow creating model of robot with parallel linkages.,Other;Difficult;
Incorrect forward kinematics.,Difficulty importing the URDF into simulation tool.,Difficulty creating a URDF file.,Difficulty adding end effector model to robotic arm model.,Could not find a URDF with the specific version of the robot I want to simulate.;Difficult;
Difficulty creating a URDF file.;Difficult;
Incorrect forward kinematics.;Medium;
Difficulty importing the URDF into simulation tool.,Difficulty adding end effector model to robotic arm model.,Could not find a URDF with the specific version of the robot I want to simulate.;Medium;
Difficulty adding end effector model to robotic arm model.,Limitation in URDF did not allow creating model of robot with parallel linkages.;Medium;
Difficulty importing the URDF into simulation tool.;Medium;
Difficulty importing the URDF into simulation tool.,Limitation in URDF did not allow creating model of robot with parallel linkages.;Difficult;
Difficulty importing the URDF into simulation tool.,Difficulty creating a URDF file.;Medium;
Limitation in URDF did not allow creating model of robot with parallel linkages.,Other;Medium;
Difficulty importing the URDF into simulation tool.,Limitation in URDF did not allow creating model of robot with parallel linkages.;Easy;
Limitation in URDF did not allow creating model of robot with parallel linkages.,Other;Medium;
Difficulty importing the URDF into simulation tool.,Difficulty creating a URDF file.,Limitation in URDF did not allow creating model of robot with parallel linkages.;Medium;
Difficulty importing the URDF into simulation tool.,Could not find a URDF with the specific version of the robot I want to simulate.;Medium;
Difficulty creating a URDF file.,Limitation in URDF did not allow creating model of robot with parallel linkages.;Medium;
;Medium;
Other;Medium;
Difficulty adding end effector model to robotic arm model.,Limitation in URDF did not allow creating model of robot with parallel linkages.;Medium;
Difficulty adding end effector model to robotic arm model.;Medium;
Incorrect forward kinematics.,Difficulty adding end effector model to robotic arm model.,Limitation in URDF did not allow creating model of robot with parallel linkages.;Easy;
Incorrect forward kinematics.,Difficulty importing the URDF into simulation tool.,Difficulty creating a URDF file.,Difficulty adding end effector model to robotic arm model.;Easy;
Incorrect forward kinematics.,Difficulty importing the URDF into simulation tool.,Difficulty creating a URDF file.,Difficulty adding end effector model to robotic arm model.;Medium;
Incorrect forward kinematics.,Difficulty importing the URDF into simulation tool.,Difficulty creating a URDF file.,Difficulty adding end effector model to robotic arm model.,Could not find a URDF with the specific version of the robot I want to simulate.,Limitation in URDF did not allow creating model of robot with parallel linkages.;Difficult;
Difficulty importing the URDF into simulation tool.,Limitation in URDF did not allow creating model of robot with parallel linkages.;Medium;
Incorrect forward kinematics.,Limitation in URDF did not allow creating model of robot with parallel linkages.;Difficult;
;Medium;
Difficulty importing the URDF into simulation tool.;Difficult;
Difficulty importing the URDF into simulation tool.,Difficulty creating a URDF file.,Could not find a URDF with the specific version of the robot I want to simulate.,Limitation in URDF did not allow creating model of robot with parallel linkages.;Difficult;
;Medium;
Difficulty importing the URDF into simulation tool.,Difficulty creating a URDF file.;Medium;
;Medium;
Could not find a URDF with the specific version of the robot I want to simulate.,Limitation in URDF did not allow creating model of robot with parallel linkages.;Easy;
;Medium;
Difficulty importing the URDF into simulation tool.;Difficult;
Could not find a URDF with the specific version of the robot I want to simulate.;Medium;
Incorrect forward kinematics.;Medium;
Difficulty importing the URDF into simulation tool.,Difficulty creating a URDF file.;Medium;
Incorrect forward kinematics.,Difficulty importing the URDF into simulation tool.,Could not find a URDF with the specific version of the robot I want to simulate.,Limitation in URDF did not allow creating model of robot with parallel linkages.;Medium;
Difficulty importing the URDF into simulation tool.,Difficulty creating a URDF file.;Difficult;
Difficulty importing the URDF into simulation tool.,Difficulty creating a URDF file.;Difficult;
Difficulty adding end effector model to robotic arm model.,Limitation in URDF did not allow creating model of robot with parallel linkages.;Medium;
;Medium;
Difficulty adding end effector model to robotic arm model.,Could not find a URDF with the specific version of the robot I want to simulate.;Medium;
Difficulty importing the URDF into simulation tool.,Difficulty creating a URDF file.;Difficult;
Incorrect forward kinematics.,Difficulty adding end effector model to robotic arm model.,Limitation in URDF did not allow creating model of robot with parallel linkages.;Medium;
Difficulty importing the URDF into simulation tool.,Difficulty creating a URDF file.,Difficulty adding end effector model to robotic arm model.;Difficult;
Limitation in URDF did not allow creating model of robot with parallel linkages.;Medium;
Incorrect forward kinematics.,Difficulty importing the URDF into simulation tool.,Difficulty creating a URDF file.,Difficulty adding end effector model to robotic arm model.,Limitation in URDF did not allow creating model of robot with parallel linkages.;Difficult;
Incorrect forward kinematics.,Difficulty importing the URDF into simulation tool.,Difficulty creating a URDF file.,Difficulty adding end effector model to robotic arm model.,Could not find a URDF with the specific version of the robot I want to simulate.,Limitation in URDF did not allow creating model of robot with parallel linkages.;Difficult;
Could not find a URDF with the specific version of the robot I want to simulate.,Limitation in URDF did not allow creating model of robot with parallel linkages.;Medium;
Difficulty adding end effector model to robotic arm model.;Easy;
Difficulty importing the URDF into simulation tool.,Difficulty adding end effector model to robotic arm model.;Medium;
Could not find a URDF with the specific version of the robot I want to simulate.,Limitation in URDF did not allow creating model of robot with parallel linkages.;Medium;
Limitation in URDF did not allow creating model of robot with parallel linkages.;Medium;
Difficulty importing the URDF into simulation tool.,Limitation in URDF did not allow creating model of robot with parallel linkages.;Difficult;
Difficulty creating a URDF file.,Could not find a URDF with the specific version of the robot I want to simulate.,Limitation in URDF did not allow creating model of robot with parallel linkages.;Medium;
;Medium;
Difficulty creating a URDF file.,Difficulty adding end effector model to robotic arm model.,Limitation in URDF did not allow creating model of robot with parallel linkages.;Medium;
Could not find a URDF with the specific version of the robot I want to simulate.,Limitation in URDF did not allow creating model of robot with parallel linkages.;Medium;
Incorrect forward kinematics.,Difficulty importing the URDF into simulation tool.,Difficulty creating a URDF file.,Could not find a URDF with the specific version of the robot I want to simulate.;Medium;
Difficulty importing the URDF into simulation tool.,Difficulty creating a URDF file.,Difficulty adding end effector model to robotic arm model.,Limitation in URDF did not allow creating model of robot with parallel linkages.;Medium;
Incorrect forward kinematics.,Difficulty importing the URDF into simulation tool.,Difficulty creating a URDF file.,Difficulty adding end effector model to robotic arm model.,Could not find a URDF with the specific version of the robot I want to simulate.,Limitation in URDF did not allow creating model of robot with parallel linkages.;Difficult;
;Medium;
Incorrect forward kinematics.;Medium;
Incorrect forward kinematics.,Difficulty importing the URDF into simulation tool.,Difficulty creating a URDF file.,Could not find a URDF with the specific version of the robot I want to simulate.;Medium;
Difficulty importing the URDF into simulation tool.,Could not find a URDF with the specific version of the robot I want to simulate.;Medium;
Difficulty importing the URDF into simulation tool.,Difficulty creating a URDF file.,Difficulty adding end effector model to robotic arm model.,Limitation in URDF did not allow creating model of robot with parallel linkages.;Difficult;
Difficulty importing the URDF into simulation tool.,Difficulty creating a URDF file.,Difficulty adding end effector model to robotic arm model.,Could not find a URDF with the specific version of the robot I want to simulate.;Difficult;
Could not find a URDF with the specific version of the robot I want to simulate.;Easy;
Difficulty importing the URDF into simulation tool.,Could not find a URDF with the specific version of the robot I want to simulate.,Limitation in URDF did not allow creating model of robot with parallel linkages.;Medium;
Difficulty importing the URDF into simulation tool.,Difficulty creating a URDF file.,Difficulty adding end effector model to robotic arm model.,Limitation in URDF did not allow creating model of robot with parallel linkages.,Other;Difficult;
Incorrect forward kinematics.,Difficulty adding end effector model to robotic arm model.,Limitation in URDF did not allow creating model of robot with parallel linkages.;Medium;
Difficulty adding end effector model to robotic arm model.;Medium;
;Medium;
Incorrect forward kinematics.,Difficulty importing the URDF into simulation tool.,Difficulty creating a URDF file.,Difficulty adding end effector model to robotic arm model.,Could not find a URDF with the specific version of the robot I want to simulate.,Limitation in URDF did not allow creating model of robot with parallel linkages.;Medium;
Incorrect forward kinematics.,Limitation in URDF did not allow creating model of robot with parallel linkages.;Medium;
Difficulty importing the URDF into simulation tool.,Difficulty creating a URDF file.,Could not find a URDF with the specific version of the robot I want to simulate.;Difficult;
Could not find a URDF with the specific version of the robot I want to simulate.;Medium;
Limitation in URDF did not allow creating model of robot with parallel linkages.;Medium;
Difficulty creating a URDF file.,Limitation in URDF did not allow creating model of robot with parallel linkages.;Medium;
Limitation in URDF did not allow creating model of robot with parallel linkages.;Easy;
;Easy;
Difficulty importing the URDF into simulation tool.,Difficulty creating a URDF file.,Difficulty adding end effector model to robotic arm model.;Difficult;
Limitation in URDF did not allow creating model of robot with parallel linkages.;Easy;
Incorrect forward kinematics.,Difficulty creating a URDF file.;Medium;
Incorrect forward kinematics.,Could not find a URDF with the specific version of the robot I want to simulate.,Limitation in URDF did not allow creating model of robot with parallel linkages.;Medium;
Difficulty importing the URDF into simulation tool.,Limitation in URDF did not allow creating model of robot with parallel linkages.;Medium;
Limitation in URDF did not allow creating model of robot with parallel linkages.,Other;Medium;
Incorrect forward kinematics.,Difficulty importing the URDF into simulation tool.,Difficulty creating a URDF file.;Medium;
Difficulty importing the URDF into simulation tool.;Difficult;
Difficulty importing the URDF into simulation tool.,Difficulty creating a URDF file.,Difficulty adding end effector model to robotic arm model.,Limitation in URDF did not allow creating model of robot with parallel linkages.;Difficult;
Difficulty importing the URDF into simulation tool.,Difficulty creating a URDF file.,Difficulty adding end effector model to robotic arm model.;Difficult;
Difficulty creating a URDF file.,Difficulty adding end effector model to robotic arm model.;Difficult;
Incorrect forward kinematics.,Difficulty importing the URDF into simulation tool.,Limitation in URDF did not allow creating model of robot with parallel linkages.;Difficult;
Limitation in URDF did not allow creating model of robot with parallel linkages.;Medium;
Difficulty creating a URDF file.,Difficulty adding end effector model to robotic arm model.;Medium;
;Medium;
Incorrect forward kinematics.,Difficulty adding end effector model to robotic arm model.;Medium;
Incorrect forward kinematics.,Difficulty creating a URDF file.,Could not find a URDF with the specific version of the robot I want to simulate.;Medium;
Difficulty creating a URDF file.;Difficult;
;Easy;
Incorrect forward kinematics.;Difficult;
Difficulty creating a URDF file.;Difficult;
Difficulty importing the URDF into simulation tool.,Limitation in URDF did not allow creating model of robot with parallel linkages.;Medium;
Incorrect forward kinematics.,Difficulty creating a URDF file.,Difficulty adding end effector model to robotic arm model.,Could not find a URDF with the specific version of the robot I want to simulate.,Limitation in URDF did not allow creating model of robot with parallel linkages.,Other;Medium;
Difficulty importing the URDF into simulation tool.,Difficulty creating a URDF file.,Difficulty adding end effector model to robotic arm model.,Could not find a URDF with the specific version of the robot I want to simulate.;Medium;
Difficulty importing the URDF into simulation tool.,Difficulty creating a URDF file.,Difficulty adding end effector model to robotic arm model.,Could not find a URDF with the specific version of the robot I want to simulate.,Limitation in URDF did not allow creating model of robot with parallel linkages.;Difficult;
Difficulty creating a URDF file.,Could not find a URDF with the specific version of the robot I want to simulate.,Limitation in URDF did not allow creating model of robot with parallel linkages.;Difficult;
Difficulty importing the URDF into simulation tool.,Difficulty creating a URDF file.,Limitation in URDF did not allow creating model of robot with parallel linkages.;Medium;
Difficulty creating a URDF file.,Could not find a URDF with the specific version of the robot I want to simulate.,Limitation in URDF did not allow creating model of robot with parallel linkages.;Medium;
Difficulty creating a URDF file.;Difficult;
Difficulty creating a URDF file.,Limitation in URDF did not allow creating model of robot with parallel linkages.;Medium;
Difficulty importing the URDF into simulation tool.,Difficulty creating a URDF file.,Limitation in URDF did not allow creating model of robot with parallel linkages.;Difficult;
Limitation in URDF did not allow creating model of robot with parallel linkages.;Easy;
Difficulty creating a URDF file.,Difficulty adding end effector model to robotic arm model.;Difficult;
Incorrect forward kinematics.,Could not find a URDF with the specific version of the robot I want to simulate.;Medium;
Could not find a URDF with the specific version of the robot I want to simulate.;Easy;
Difficulty importing the URDF into simulation tool.,Limitation in URDF did not allow creating model of robot with parallel linkages.;Difficult;
Could not find a URDF with the specific version of the robot I want to simulate.;Medium;
Difficulty creating a URDF file.,Could not find a URDF with the specific version of the robot I want to simulate.,Limitation in URDF did not allow creating model of robot with parallel linkages.;Difficult;
Limitation in URDF did not allow creating model of robot with parallel linkages.,Other;Medium;
Could not find a URDF with the specific version of the robot I want to simulate.;Medium;
Difficulty importing the URDF into simulation tool.;Medium;
Limitation in URDF did not allow creating model of robot with parallel linkages.;Medium;
Difficulty importing the URDF into simulation tool.;Medium;
Could not find a URDF with the specific version of the robot I want to simulate.,Limitation in URDF did not allow creating model of robot with parallel linkages.;Difficult;
Could not find a URDF with the specific version of the robot I want to simulate.;Medium;
Incorrect forward kinematics.,Difficulty importing the URDF into simulation tool.,Difficulty creating a URDF file.,Difficulty adding end effector model to robotic arm model.,Could not find a URDF with the specific version of the robot I want to simulate.,Limitation in URDF did not allow creating model of robot with parallel linkages.;Medium;
Difficulty adding end effector model to robotic arm model.,Could not find a URDF with the specific version of the robot I want to simulate.;Medium;
Difficulty importing the URDF into simulation tool.;Medium;
;Easy;
;Medium;
;Medium;
Difficulty importing the URDF into simulation tool.,Difficulty creating a URDF file.,Limitation in URDF did not allow creating model of robot with parallel linkages.;Difficult;
Incorrect forward kinematics.,Difficulty importing the URDF into simulation tool.,Difficulty adding end effector model to robotic arm model.;Medium;
Difficulty importing the URDF into simulation tool.,Difficulty adding end effector model to robotic arm model.,Could not find a URDF with the specific version of the robot I want to simulate.,Other;Medium;
Difficulty importing the URDF into simulation tool.,Difficulty adding end effector model to robotic arm model.,Could not find a URDF with the specific version of the robot I want to simulate.,Limitation in URDF did not allow creating model of robot with parallel linkages.;Medium;
Incorrect forward kinematics.,Difficulty importing the URDF into simulation tool.;Medium;
Could not find a URDF with the specific version of the robot I want to simulate.;Medium;
Difficulty creating a URDF file.;Medium;
;Medium;
Incorrect forward kinematics.,Difficulty importing the URDF into simulation tool.,Difficulty creating a URDF file.;Difficult;
Incorrect forward kinematics.,Limitation in URDF did not allow creating model of robot with parallel linkages.;Difficult;
Difficulty importing the URDF into simulation tool.,Difficulty creating a URDF file.,Difficulty adding end effector model to robotic arm model.,Limitation in URDF did not allow creating model of robot with parallel linkages.;Medium;
Incorrect forward kinematics.,Difficulty creating a URDF file.,Limitation in URDF did not allow creating model of robot with parallel linkages.;Difficult;
Incorrect forward kinematics.;Medium;
Incorrect forward kinematics.,Difficulty creating a URDF file.,Difficulty adding end effector model to robotic arm model.,Could not find a URDF with the specific version of the robot I want to simulate.,Limitation in URDF did not allow creating model of robot with parallel linkages.;Medium;
Limitation in URDF did not allow creating model of robot with parallel linkages.;Medium;
Difficulty creating a URDF file.;Medium;
;Medium;
Difficulty adding end effector model to robotic arm model.,Limitation in URDF did not allow creating model of robot with parallel linkages.;Medium;
Other;Medium;
Difficulty importing the URDF into simulation tool.,Difficulty creating a URDF file.,Difficulty adding end effector model to robotic arm model.,Could not find a URDF with the specific version of the robot I want to simulate.;Difficult;
Difficulty adding end effector model to robotic arm model.,Could not find a URDF with the specific version of the robot I want to simulate.,Limitation in URDF did not allow creating model of robot with parallel linkages.;Medium;
Could not find a URDF with the specific version of the robot I want to simulate.,Other;Medium;
Difficulty importing the URDF into simulation tool.,Difficulty adding end effector model to robotic arm model.,Limitation in URDF did not allow creating model of robot with parallel linkages.;Medium;
Difficulty importing the URDF into simulation tool.;Difficult;
Difficulty creating a URDF file.,Limitation in URDF did not allow creating model of robot with parallel linkages.;Difficult;
Difficulty creating a URDF file.;Difficult;
